x/c, Cp
2.967895833658799609e-01,1.702849864959716797e-01
2.967895833658799609e-01,1.742426306009292603e-01
2.975861254432624059e-01,1.850150674581527710e-01
2.979442084976730576e-01,1.894894093275070190e-01
2.982709013624490479e-01,1.919454783201217651e-01
2.989087201204067012e-01,1.950875669717788696e-01
2.989660979704395483e-01,1.953472346067428589e-01
2.997311644427053112e-01,1.958993673324584961e-01
2.999173701934633174e-01,1.954296082258224487e-01
3.004735531045003571e-01,1.940478831529617310e-01
3.011753480584752896e-01,1.950353384017944336e-01
3.014765657557450518e-01,1.947566419839859009e-01
3.019824816556256342e-01,1.897474080324172974e-01
3.021684738676786441e-01,1.877155452966690063e-01
3.029032178438347267e-01,1.825619190931320190e-01
3.030988406514831257e-01,1.801185905933380127e-01
3.037801145359078081e-01,1.724823564291000366e-01
3.042914329650248106e-01,1.691363900899887085e-01
3.044436860616881457e-01,1.681921631097793579e-01
3.052179560521393609e-01,1.646292209625244141e-01
3.052752484866902427e-01,1.641566902399063110e-01
3.059870584059296017e-01,1.564820408821105957e-01
3.060812930364450457e-01,1.555434912443161011e-01
3.067590221783667581e-01,1.490410268306732178e-01
3.068984202449892562e-01,1.479309648275375366e-01
3.075348510013644621e-01,1.427851617336273193e-01
3.077719857332644193e-01,1.410540789365768433e-01
3.082952623298612638e-01,1.370194703340530396e-01
3.087590683971162542e-01,1.333935856819152832e-01
3.090602860943860164e-01,1.306295096874237061e-01
3.098669499063853583e-01,1.242240220308303833e-01
3.098934073519346022e-01,1.240296065807342529e-01
3.107087835430978329e-01,1.168086826801300049e-01
3.111835868536602101e-01,1.136272251605987549e-01
3.115509801956087843e-01,1.113113686442375183e-01
3.123338344420008572e-01,1.064674258232116699e-01
3.130508119979011350e-01,1.006154268980026245e-01
3.131893559097036484e-01,9.995625913143157959e-02
3.137898053942866916e-01,9.713882207870483398e-02
3.145405861271881043e-01,9.478495270013809204e-02
3.152751806262507062e-01,9.112451225519180298e-02
3.153040724130369288e-01,9.099979698657989502e-02
3.159899373796190569e-01,8.714683353900909424e-02
3.166913266100545021e-01,8.386253565549850464e-02
3.173059337107789202e-01,8.124901354312896729e-02
3.173865659257860128e-01,8.077739924192428589e-02
3.180712350756201845e-01,7.714423537254333496e-02
3.187781336046445757e-01,7.437158375978469849e-02
3.192412777019140724e-01,7.269933819770812988e-02
3.195060656961112300e-01,7.143432646989822388e-02
3.202384393926418493e-01,6.801088154315948486e-02
3.209647485899505548e-01,6.500226259231567383e-02
3.214483924028998518e-01,6.330479681491851807e-02
3.216779465107724167e-01,6.233694776892662048e-02
3.223766878612658870e-01,5.948669835925102234e-02
3.230606950411145095e-01,5.708525329828262329e-02
3.237272134010238389e-01,5.484680831432342529e-02
3.237472646854231417e-01,5.478716269135475159e-02
3.244115408889299834e-01,5.227642878890037537e-02
3.251278137671038126e-01,5.059294402599334717e-02
3.256359291156458169e-01,4.903273284435272217e-02
3.258738112330132886e-01,4.844523966312408447e-02
3.266120999516723411e-01,4.721221327781677246e-02
3.274767395220785637e-01,4.534886032342910767e-02
3.275667887939761047e-01,4.519431293010711670e-02
3.284304887940803219e-01,4.238752275705337524e-02
3.291418289281686782e-01,4.041935876011848450e-02
3.295759531154289768e-01,3.960124030709266663e-02
3.298479373639845447e-01,3.900220990180969238e-02
